starter_payload\tbytes
tutorial-html\t15290
tutorial-latex\t14722
tutorial-markdown\t14328
tutorial-quarto\t14628
tutorial-typst\t14534
all_five\t73502
shared_icon_each\t11694
shared_references_bib_each\t404
cross_document_duplicate_savings_for_one_account\t48392
